Srl_Num,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Occupation ,Your hometown ?,Roll Number ,Institute ,
1,6,10,5,8,10,7,8,9,4,10,7,9,10,5,One Plus,Online,Fruit flavour,Everyday,Everyday,Everyday,Everyday,Online,Online,24-28,Male,Student,Other towns in South,Gokul Mohan S ,Goa Institute Of Management ,
2,4,8,5,5,5,5,7,8,2,8,5,1,3,8,Samsung,Online,Cola,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Student,Other towns in North,B2019111,GIM,
3,9,5,4,9,10,10,5,8,8,10,2,7,6,3,Samsung,Online,Orange,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2019063,Goa Institute of Management,
4,9,9,6,7,7,3,4,8,8,7,7,7,7,6,One Plus,Online,Orange,Everyday,Never,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in West,B2019104,Goa Institute of Management,
5,9,10,3,9,10,9,9,7,9,10,7,6,3,5,One Plus,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Kolkata,B2019066,GIM,
6,4,8,9,9,8,5,8,7,9,9,4,8,7,6,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Other towns in South,B2019105 ,GIM,
7,6,9,5,3,10,4,5,6,8,10,10,3,4,10,Samsung,Online,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in North,B2019087,Goa Institute Of Management,
8,6,7,7,6,8,6,7,5,9,5,4,5,5,3,Xiaomi,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Delhi,B2019094,Goa Institute of Management,
9,9,10,5,4,7,6,3,4,8,8,6,2,2,5,One Plus,Retail,Cola,Never,Never,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Delhi,B2019083,Goa Institute of Management ,
10,6,7,8,10,9,5,7,9,9,8,5,5,8,1,Xiaomi,Retail,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Mumbai,B2019091,Goa Institute of Management,
